,"ds[, 1]",535.2 24.56533,273.1 25.18758,615.7 24.45783,516.3 25.61195,350.1 24.15222,649.7 24.93817,571.9 24.958,619.6 25.53383,788.2 25.1655,509.6 24.92408,431.1 25.40817
30_do,pre,18.72024371,17.15236052,18.59190482,16.56570733,19.02905177,16.90916035,17.16533174,15.24457308,19.12255438,16.34825586,17.39473958
31_do,pre,18.40280199,17.2208866,18.22545291,16.32161739,18.93435173,16.90099839,17.05981429,15.05250189,19.14032971,16.35854011,17.35988686
32_do,pre,18.25841691,17.11211235,18.05076565,16.13703166,19.02985526,16.85168536,17.08277491,14.90782756,19.07962575,16.34724034,17.12229827
33_cg,CG,17.52498873,16.92048606,17.34768493,15.88654845,18.78027474,16.69219719,16.64409592,14.42768862,18.87048996,16.31792382,17.11644084
34_do,pre,18.46990211,17.26957993,17.7121839,16.14589839,19.20260756,17.04140107,17.11872691,14.88729624,19.03727729,16.65174382,17.54255431
35_kg,CG,17.86802412,16.93342867,17.43241774,15.78903214,18.91474042,16.58482254,16.95800451,14.30964705,18.95527931,16.1089458,17.1498887
36_do,pre,18.08012593,17.24548731,17.58119077,16.01279898,18.92845713,16.76487696,17.05001547,14.65115921,19.10488116,16.33632627,17.30262145
37_do,pre,17.9660665,17.21740958,17.69261083,16.32918156,18.8873762,17.18447076,17.01187971,15.3719082,18.86627711,16.51896694,17.30924892
38_kg,CG,17.10879989,16.8593499,17.10895637,15.5543758,18.26978195,16.63451651,16.47341625,14.34271929,18.70319808,16.10177898,17.19059608
39_do,pre,18.1375076,17.25599987,17.47838003,16.12449234,18.99041399,17.01678911,16.78305808,14.99508955,18.74367726,16.40570504,17.22017296
40_kg,CG,17.25709396,16.58898005,16.84587453,15.48855127,18.57165187,16.66447153,16.56951601,14.50586183,18.6641908,16.1188052,17.14071458
41_do,pre,17.86130394,17.26475233,17.15199166,15.64881626,18.98467129,16.99087593,16.9024477,14.78882171,18.81846167,16.36055436,17.29513493
42_kg,CG,17.31047028,16.88017148,16.75586443,15.79248053,18.49816042,16.53141772,16.43339073,14.60231898,18.54336495,15.95264294,17.25525964
43_do,pre,17.41194914,17.06845551,16.83606531,15.47313633,18.67444019,16.47646083,16.44528691,14.37801215,18.55370233,16.13404373,17.24199604
44_kg,CG,17.06060797,17.06554025,16.70664014,15.44993104,18.50446403,16.2600291,16.38393897,14.13396239,18.55912529,15.94601315,17.24199794
46_do,pre,17.87871949,17.19515169,17.08143463,15.74864372,18.77919694,16.76484841,16.72527013,14.51094269,18.76761683,16.38157451,17.4991841
47_do,pre,18.25943496,17.12853424,17.4149042,15.70611542,19.11302062,16.81433782,16.84887787,14.83539744,18.47921639,16.21884911,17.23096637
48_kg,CG,17.20683817,16.79884158,16.84013992,15.25105138,18.64310663,16.11796163,16.52070583,13.85531848,18.44870943,15.79370549,16.8079706
49_kg,CG,18.15273729,16.93940391,17.42159413,15.72715705,18.91175158,16.61787639,16.81837253,14.5757918,18.46413273,15.89387583,17.24955832
50_kg,CG,17.53836581,16.73925465,16.94464816,15.15605023,18.65816074,16.18596303,16.44400709,13.87614697,18.41802353,15.81750413,16.99704684
51_kg,CG,17.39594853,16.76179358,16.98345805,15.31787333,18.51336647,16.28420195,16.40610109,14.09881867,18.35857546,15.94135525,16.60774764
52_do,pre,17.85287012,17.24244173,17.5290757,15.91781088,18.28841557,16.91456687,17.1302955,14.827419,18.94751182,16.20013412,17.29007588
53_do,pre,17.57504611,17.05475618,17.47043791,15.79631392,18.59497392,16.81837508,17.07472742,14.51135496,18.94668168,16.34315262,17.32199332
54_kg,CG,17.27347204,17.05904297,16.96798726,15.61188247,18.52239623,16.70860944,16.98704798,14.19357742,18.97134382,16.26504718,17.19079273
55_do,pre,18.075344,17.14343426,17.63938919,16.06098857,18.89376205,17.04053407,17.3109758,14.82285204,19.15881571,16.41949405,17.29852401
56_kg,CG,16.89735154,16.9743367,16.56042784,15.36540473,18.37022033,16.60853896,16.8291258,14.29748608,18.85822535,16.27129039,17.22252103
57_kg,CG,17.24199111,16.899197,16.95656484,15.73602855,18.56156978,15.74948529,16.66752807,14.67684499,18.86319939,15.56805106,17.0594194
58_kg,CG,16.99825331,17.04445453,16.70952673,15.56791465,18.55546346,16.22641516,16.41161161,13.86757164,18.80895383,16.13619492,17.06724613
59_kg,CG,17.38245304,17.07617679,17.05484326,15.8907198,18.69209186,16.86027781,16.51197671,14.36413268,18.77951924,16.46653093,17.271124
60_kg,CG,16.77779893,16.87337183,16.72610687,15.59273517,18.54051474,16.60609182,16.36907501,14.67469817,18.71585979,16.32636205,17.1372558
61_do,pre,17.76567647,17.00979875,17.42596941,16.23923346,18.74346599,16.85994581,16.67555322,14.43572701,18.837643,16.41916306,17.34056821
62_do,pre,18.1094256,17.18955814,17.71572524,16.05804515,19.06263747,16.82751003,16.71578166,14.84013215,18.91608253,16.53365442,17.3555354
63_do,pre,18.43626928,17.16136495,18.09319594,16.37360558,19.13808914,16.90653912,16.97698678,15.05703632,19.01691938,16.4149203,17.36540728
64_do,pre,18.76560311,17.18921163,18.21275027,16.31051692,19.21721582,16.88479971,16.89245384,15.0534223,19.08039136,16.39757124,17.40395065
65_kg,CG,17.35439228,16.93926595,17.29298122,15.79911409,18.62795135,16.62524989,16.39536529,14.32528945,18.74801106,16.32786319,17.12834454
66_kg,CG,17.94421641,16.91452708,17.66000228,16.43384528,18.59429911,16.97447409,16.61140326,14.95266339,18.77873601,15.97977777,17.03075784
67_do,pre,18.14896599,17.12183193,17.53740246,16.53419404,18.81549028,16.70583287,16.71842447,15.22361342,18.79040759,16.38972913,17.34053224
68_kg,CG,17.7550194,16.8222224,17.3895909,15.4146273,18.56622744,16.2686013,16.57734,14.53236468,18.74709627,16.22737657,17.19888011
69_do,pre,17.88261272,17.18290757,17.47811421,16.07351879,18.81655564,16.76204906,16.88231739,14.73954119,18.78596643,16.23086356,17.20812549
70_kg,CG,17.31186866,16.75004695,17.0781489,15.48527277,18.36994962,16.22083345,16.57398501,14.1209671,18.67876514,15.95584666,17.05139325
71_kg,CG,17.28189111,16.89245179,17.12336946,15.48719808,18.66145727,16.19700429,16.74684001,13.9815209,18.74712941,16.22402374,16.96495566
72_kg,CG,17.40337259,16.96312267,17.16893799,15.51743713,18.62150193,16.52790699,16.92805907,14.87536024,18.7556673,16.17468689,17.07143447
73_do,pre,18.0990592,17.21890453,17.51852546,15.99636042,18.98588861,17.05296438,16.97090067,14.68824889,18.88359101,16.56761623,17.42564323
74_do,pre,17.91759376,17.11186212,17.05338791,15.55055929,18.83635521,16.76249251,16.80035567,14.44464697,18.76984273,16.15968344,17.36272569
75_kg,CG,17.0696777,16.79441688,16.94232917,15.4112789,18.57579992,16.69447494,16.6365338,14.11535798,18.73087731,16.17979356,17.10344347
76_kg,CG,17.02497001,16.95370187,16.8471334,15.33440987,18.51937366,16.6908169,16.54463154,14.16312554,18.71376882,15.89037033,17.07976076
77_kg,CG,16.79005122,16.91296966,16.58814002,15.31144253,18.51345191,16.46477791,16.58759851,13.97978577,18.76403349,16.07430316,17.06369559
78_kg,CG,16.91476281,17.03307014,16.73704276,15.19805138,18.56047543,16.32686821,16.59114569,13.90322649,18.64605321,15.82867046,17.10255938
